,Position,ø-Age,Market value in million
0,Goalkeeper,23.67,47.2
1,Defender,24.36,156.0
2,midfield,25.21,227.0
3,Attack,23.75,101.0
4,Total:,24.43,531.0
5,Goalkeeper,23.67,47.2
6,Defender,24.36,156.0
7,midfield,25.21,227.0
8,Attack,23.75,101.0
9,Total:,24.43,531.0
10,Goalkeeper,25.0,48.7
11,Defender,22.65,133.0
12,midfield,24.46,131.0
13,Attack,22.75,126.0
14,Total:,23.52,439.0
15,Goalkeeper,27.0,32.5
16,Defender,23.38,122.0
17,midfield,25.73,108.0
18,Attack,25.27,241.0
19,Total:,24.88,505.0
20,Goalkeeper,24.5,20.7
21,Defender,26.67,115.0
22,midfield,27.78,113.0
23,Attack,23.08,153.0
24,Total:,25.54,402.0
25,Goalkeeper,23.5,24.2
26,Defender,25.0,157.0
27,midfield,25.75,73.5
28,Attack,23.64,202.0
29,Total:,24.71,457.0
30,Goalkeeper,25.25,24.5
31,Defender,23.38,161.0
32,midfield,25.83,60.7
33,Attack,24.67,157.0
34,Total:,24.56,404.0
35,Goalkeeper,29.25,6.2
36,Defender,26.08,144.0
37,midfield,24.44,97.0
38,Attack,23.4,140.0
39,Total:,25.14,388.0
