,season,team_score,team_x,goals,in_goals,total_yel_card,total_red_card,total_scoring_att,ontarget_scoring_att,total_offside,clean_sheet,saves,total_tackle,last_man_tackle,own_goals,penalty_conceded,pen_goals_conceded,total_pass,total_long_balls,corner_taken,total_high_claim,punches
15,2006,89,Manchester United,83,27,60,1,698,256,80,16,2,890,1,1,5,3,18723,2397,258,37,25
34,2007,87,Manchester United,80,22,51,2,696,260,100,21,2,978,2,0,1,1,17422,2417,261,47,23
59,2008,90,Manchester United,68,24,61,5,715,230,99,24,51,741,8,1,3,3,19416,2192,257,56,22
73,2009,85,Manchester United,86,28,49,4,695,221,85,19,0,828,13,0,2,2,19318,2205,297,65,18
97,2010,80,Manchester United,78,37,56,3,618,212,102,15,0,693,17,1,6,5,18870,2279,243,45,16
107,2011,89,Manchester United,89,33,51,1,646,243,89,20,0,803,6,2,3,2,20184,2189,279,37,26
129,2012,89,Manchester United,86,43,57,1,561,213,96,13,1,731,4,4,0,0,19696,1973,218,38,28
146,2013,64,Manchester United,64,43,66,3,526,183,97,13,103,676,4,1,4,3,18894,2077,216,32,14
178,2014,70,Manchester United,62,37,64,5,512,180,87,11,100,739,4,1,4,3,21311,2969,214,33,7
190,2015,66,Manchester United,49,35,65,1,430,144,75,18,90,760,4,2,2,2,20070,2649,228,29,13
207,2016,69,Manchester United,54,29,78,2,591,210,99,17,85,690,4,1,5,4,20245,2424,217,32,4
230,2017,81,Manchester United,68,28,64,1,512,178,88,19,118,564,0,2,1,1,20064,2308,220,20,6
